year;jounral;title;url
2024;Bulletin of the American Physical Society;R-matrix with time-dependence calculations and benchmark experiments for three-sideband RABBITT in helium.;
2024;Bulletin of the American Physical Society;Determining bound states of Krypton in the range 22-32eV using the Dirac B-Spline atomic R-Matrix code;
2024;Bulletin of the American Physical Society;Under-threshold RABBITT in the presence of multiple resonances;
2024;Bulletin of the American Physical Society;Benchmark calculations for high-order harmonic generation in helium.;
2024;Bulletin of the American Physical Society;Determining the feasibility of performing circularly-polarized RABBITT calculations using the R-Matrix with Time-dependence method;
2024;Bulletin of the American Physical Society;Electron-impact excitation of Si using the Dirac B-Spline atomic R-Matrix code;
2024;Bulletin of the American Physical Society;Exploring High-Order Harmonic Generation in Neon using the R-Matrix with Time-Dependence Method;
2024;Bulletin of the American Physical Society;Electron-impact excitation and ionization of Rb and Rb+ using the Dirac B-Spline R-Matrix method;
2024;Plasma Sources Science and Technology;A novel state-resolved actinometry method to determine the nitrogen atom number density in the ground state and intra-shell excited states in low-pressure electron cyclotron …;
2024;Physical Review A 109 (4)_ 043113;High-order harmonic generation in helium: A comparison study;https://arxiv.org/html/2311.03677v2
2024;arXiv preprint arXiv:2404.02985;R-matrix with time-dependence calculations for three-sideband RABBITT in helium;https://arxiv.org/pdf/2404.02985
2024;Physical Review A 109 (2)_ 023110;Multi-sideband interference structures by high-order photon-induced continuum-continuum transitions in helium;https://link.aps.org/pdf/10.1103/PhysRevA.109.023110
2024;arXiv preprint arXiv:2401.15181;Strong-Field Ionization Phenomena Revealed by Quantum Trajectories;https://arxiv.org/html/2401.15181v1
2023;arXiv preprint arXiv:2311.11519;Opportunities for Gas-Phase Science at Short-Wavelength Free-Electron Lasers with Undulator-Based Polarization Control;https://arxiv.org/pdf/2311.11519
2023;Computing in Science & Engineering 25 (3)_ 68-72;Simulation for All: The Atomic_ Molecular_ and Optical Science Gateway;
2023;Plasma Sources Science and Technology 32 (9)_ 095019;A xenon collisional-radiative model applicable to electric propulsion devices: III. Determination of the ionization fraction in low-temperature xenon plasma by using ionic and …;
2023;Frontiers in Ultrafast Optics: Biomedical_ Scientific_ and Industrial …;Sub-femtosecond dynamics in photoionization and photodissociation processes;
2023;Physical Review A 107 (2)_ 022801;Multisideband interference structures observed via high-order photon-induced continuum-continuum transitions in argon;https://link.aps.org/pdf/10.1103/PhysRevA.107.022801
2023;APS Annual Gaseous Electronics Meeting Abstracts_ GM1. 010;Electron Collisions with Atoms and Ions-A Solved Problem?;
2023;APS Division of Atomic_ Molecular and Optical Physics Meeting Abstracts 2023 …;The Science Gateway for Atomic_ Molecular_ and Optical Science (AMOS);
2023;APS Division of Atomic_ Molecular and Optical Physics Meeting Abstracts 2023 …;The legacy of Don Madison-electron-atom collisions.;
2023;Springer Handbook of Atomic_ Molecular_ and Optical Physics_ 725-750;Electron–Atom_ Electron–Ion_ and Electron–Molecule Collisions;
2022;Physical Review A 106 (6)_ 063113;High-order harmonic generation in the water window from mid-IR laser sources;https://link.aps.org/accepted/10.1103/PhysRevA.106.063113
2022;Physical Review A 106 (6)_ 062811;Effects of environment on the electron-impact ionization dynamics of argon clusters;https://link.aps.org/pdf/10.1103/PhysRevA.106.062811
2022;Plasma Sources Science and Technology 31 (9)_ 095020;The 2021 release of the Quantemol database (QDB) of plasma chemistries and reactions;https://iopscience.iop.org/article/10.1088/1361-6595/ac907e
2022;Physical Review A 106 (5)_ 053112;Photoelectron momentum distributions in the strong-field ionization of atomic hydrogen by few-cycle elliptically polarized optical pulses;https://link.aps.org/accepted/10.1103/PhysRevA.106.053112
2022;Optics Express 30 (24)_ 44039-44054;Ellipticity dependence of anticorrelation in the nonsequential double ionization of Ar;https://opg.optica.org/viewmedia.cfm?html=true&seq=0&uri=oe-30-24-44039
2022;arXiv preprint arXiv:2210.09244;Multi-Sideband RABBIT in Argon;https://arxiv.org/pdf/2210.09244
2022;Physical Review Research 4 (3)_ 033231;Influence of an atomic resonance on the coherent control of the photoionization process;https://link.aps.org/pdf/10.1103/PhysRevResearch.4.033231
2022;arXiv e-prints_ arXiv: 2209.14807;Analysis of the photoelectron momentum distribution in the strong-field ionization of atomic hydrogen by 800-nm few-cycle elliptically polarized pulses;
2022;Physical Review A 106 (2)_ 023113;Two-path interference in resonance-enhanced few-photon ionization of Li atoms;https://link.aps.org/accepted/10.1103/PhysRevA.106.023113
2022;The European Physical Journal D 76 (5);Electron-impact excitation of the 5$$\varvec {^ 2\textbf {S} _ {1/2}\rightarrow 5^ 2\textbf {P} _ {1/2}} $$ and 5$$\varvec {^ 2\textbf {P} _ {3/2}} $$ transitions in rubidium …;
2022;The European Physical Journal D 76 (5)_ 92;Electron-impact excitation of the 5 and 5 transitions in rubidium by 40 eV electrons: theory and experiment;https://link.springer.com/article/10.1140/epjd/s10053-022-00413-7
2022;Physical Review Letters 128 (17)_ 173201;Carrier-envelope phase-dependent strong-field excitation;https://link.aps.org/accepted/10.1103/PhysRevLett.128.173201
2022;Atoms 10 (1)_ 26;Generalizations of the R-Matrix Method to the Treatment of the Interaction of Short-Pulse Electromagnetic Radiation with Atoms;https://www.mdpi.com/2218-2004/10/1/26
2022;APS Division of Atomic_ Molecular and Optical Physics Meeting Abstracts 2022 …;Analysis of strong-field ionization via a Bohmian Mechanics approach;
2022;APS Division of Atomic_ Molecular and Optical Physics Meeting Abstracts 2022 …;Angle-Dependent Continuum Transitions in Multi-Sideband RABBITT on Argon: Experiment and Theory;
2022;APS Division of Atomic_ Molecular and Optical Physics Meeting Abstracts 2022 …;Coherent control of nonradiative electron capture in electron-ion collisions: Exploiting Heisenberg's Uncertainty Principle and the projectile beam coherence.;
2022;APS Division of Atomic_ Molecular and Optical Physics Meeting Abstracts 2022 …;Two-path interference in the resonance-enhanced few-photon ionization of lithium atoms;
2022;APS Division of Atomic_ Molecular and Optical Physics Meeting Abstracts 2022 …;A Science Gateway for Atomic_ Molecular and Optical Science (AMOS): Democratizing AMOS Research and Education;
2022;;Acknowledgment to Reviewers of Atoms in 2021;
2021;Physical Review A 104 (6)_ 062805;Benchmark angle-differential cross-section ratios for the electron-impact excitation of the xenon 5 p 6 1 S 0→ 5 p 5 6 s [3/2] 2_ 5 p 5 6 s [3/2] 1_ 5 p 5 6 s′[1/2] 0_ and 5 …;https://link.aps.org/accepted/10.1103/PhysRevA.104.062805
2021;Atoms 9 (4)_ 109;Oleg Zatsarinny (1953–2021): Memories by His Colleagues;https://www.mdpi.com/2218-2004/9/4/109
2021;Atoms 9 (4)_ 103;Electron scattering cross-section calculations for atomic and molecular iodine;https://www.mdpi.com/2218-2004/9/4/103
2021;Plasma Sources Science and Technology 30 (11)_ 115019;Transport of electrons and propagation of the negative ionisation fronts in indium vapour;
2021;Atoms 9 (4)_ 94;Relativistic B-Spline R-Matrix Calculations for Electron Scattering from Thallium Atoms;https://www.mdpi.com/2218-2004/9/4/94
2021;Physical Review A 104 (5)_ 053103;Magnetic dichroism in few-photon ionization of polarized atoms;https://link.aps.org/accepted/10.1103/PhysRevA.104.053103
2021;Atoms 9 (4)_ 82;Low-Energy Elastic Electron Scattering from Helium Atoms;https://www.mdpi.com/2218-2004/9/4/82
2021;Physical Review A 104 (4)_ L040801;Linear polarization fractions of Fulcher- fluorescence in electron collisions with;https://link.aps.org/accepted/10.1103/PhysRevA.104.L040801
2021;Abhijit Dasgupta_ J P. Apruzes_ O Zatsarinny_ K Bartschat_ Charlotte F. Fischer;Improved Transition Oscillator Probabilities for Laser Transitions in Xe I;
