year;jounral;title;url
2023;The Journal of Chemical Physics 158 (13);Water-assisted electron capture exceeds photorecombination in biological conditions;https://aip.scitation.org/doi/full/10.1063/5.0138975
2022;Physical Review A 106 (6), 062811;Effects of environment on the electron-impact ionization dynamics of argon clusters;https://link.aps.org/pdf/10.1103/PhysRevA.106.062811
2022;Plasma Sources Science and Technology 31 (9), 095020;The 2021 release of the Quantemol database (QDB) of plasma chemistries and reactions;https://iopscience.iop.org/article/10.1088/1361-6595/ac907e
2022;The European Physical Journal D 76 (5);Electron-impact excitation of the 5$$\varvec {^ 2\textbf {S} _ {1/2}\rightarrow 5^ 2\textbf {P} _ {1/2}} $$ and 5$$\varvec {^ 2\textbf {P} _ {3/2}} $$ transitions in rubidium …;
2022;The European Physical Journal D 76 (5), 92;Electron-impact excitation of the 5 and 5 transitions in rubidium by 40 eV electrons: theory and experiment;https://link.springer.com/article/10.1140/epjd/s10053-022-00413-7
2022;Journal of Physics B: Atomic, Molecular and Optical Physics 55 (5), 055002;An experimental and theoretical study of the Kr 3d correlation satellites;https://iopscience.iop.org/article/10.1088/1361-6455/ac521a
2022;The Astrophysical Journal Supplement Series 259 (2), 52;Effective Collision Strengths and Radiative Parameters for Lines in the Sc ii Spectrum;https://iopscience.iop.org/article/10.3847/1538-4365/ac502e/pdf
2022;APS Division of Atomic, Molecular and Optical Physics Meeting Abstracts 2022 …;Electron-impact excitation of Sc II;
2021;Atoms 9 (4), 114;Mechanisms of 1s Double-Core-Hole Excitation and Decay in Neon;https://www.mdpi.com/2218-2004/9/4/114
2021;Physical Review A 104 (6), 062805;Benchmark angle-differential cross-section ratios for the electron-impact excitation of the xenon 5 p 6 1 S 0→ 5 p 5 6 s [3/2] 2, 5 p 5 6 s [3/2] 1, 5 p 5 6 s′[1/2] 0, and 5 …;https://link.aps.org/accepted/10.1103/PhysRevA.104.062805
2021;Atoms 9 (4), 103;Electron scattering cross-section calculations for atomic and molecular iodine;https://www.mdpi.com/2218-2004/9/4/103
2021;Plasma Sources Science and Technology 30 (11), 115019;Transport of electrons and propagation of the negative ionisation fronts in indium vapour;
2021;Atoms 9 (4), 94;Relativistic B-Spline R-Matrix Calculations for Electron Scattering from Thallium Atoms;https://www.mdpi.com/2218-2004/9/4/94
2021;Atoms 9 (4), 83;Benchmark Photoionization Cross-Sections of Neutral Scandium from the Ground and Excited States;https://www.mdpi.com/2218-2004/9/4/83
2021;Abhijit Dasgupta, J P. Apruzes, O Zatsarinny, K Bartschat, Charlotte F. Fischer;Improved Transition Oscillator Probabilities for Laser Transitions in Xe I;
2021;Atoms 9 (3), 61;Benchmark Angle-Differential Cross-Section Ratios for Excitation of the 4p5s Configuration in Krypton;https://www.mdpi.com/2218-2004/9/3/61
2021;Atoms 9 (3), 47;Relativistic B-Spline R-Matrix Calculations for Electron Collisions with Ytterbium;https://www.mdpi.com/2218-2004/9/3/47
2021;Physical Review A 103 (5), 053102;Anticorrelation in nonsequential double ionization of helium;https://link.aps.org/accepted/10.1103/PhysRevA.103.053102
2021;Journal of Physical and Chemical Reference Data 50 (1);Recommended Cross Sections for Electron–Indium Scattering;https://par.nsf.gov/servlets/purl/10282749
2021;Physical Review A 103 (2), 022832;Near-threshold two-photon double ionization of Kr in the vacuum ultraviolet;https://www.academia.edu/download/82101251/PhysRevA.103.022832.pdf
2021;s Note: MDPI stays neutral with regard to jurisdictional claims in published …;Benchmark PhotoIonization Cross-Sections of Neutral Scandium from the Ground and Excited States. Atoms 2021, 9, 83;https://www.academia.edu/download/74046413/pdf.pdf
2021;s Note: MDPI stays neutral with regard to jurisdictional claims in published …;Relativistic B-Spline R-Matrix Calculations for Electron Collisions with Ytterbium. Atoms 2021, 9, 47;
2021;APS Annual Gaseous Electronics Meeting Abstracts, GT61. 063;Electron impact excitation collision strengths and radiative parameters for Sc II spectral lines;
2021;APS Annual Gaseous Electronics Meeting Abstracts, PR23. 001;A Science Gateway for Atomic and Molecular Physics: Democratizing Atomic and Molecular Physics Research and Education;
2021;APS Annual Gaseous Electronics Meeting Abstracts, PR23. 002;B-Spline Atomic R-Matrix Calculations on the AMPGateway;
2020;Physical Review X 10 (4), 041056;Mapping resonance structures in transient core-ionized atoms;https://link.aps.org/pdf/10.1103/PhysRevX.10.041056
2020;The Astrophysical Journal 905 (2), 101;Transition probabilities and collision strengths for fine-structure levels excitation of Ti II;https://iopscience.iop.org/article/10.3847/1538-4357/abc2cf/pdf
2020;Monthly Notices of the Royal Astronomical Society 499 (3), 3706-3719;Chemical diversity among A–B stars with low rotational velocities: non-LTE abundance analysis;https://arxiv.org/pdf/2010.02058
