2024;Bulletin of the American Physical Society;BulletinoftheAmericanPhysicalSociety;R-matrix with time-dependence calculations and benchmark experiments for three-sideband RABBITT in helium.;
2024;Bulletin of the American Physical Society;BulletinoftheAmericanPhysicalSociety;Determining bound states of Krypton in the range 22-32eV using the Dirac B-Spline atomic R-Matrix code;
2024;Bulletin of the American Physical Society;BulletinoftheAmericanPhysicalSociety;Under-threshold RABBITT in the presence of multiple resonances;
2024;Bulletin of the American Physical Society;BulletinoftheAmericanPhysicalSociety;Benchmark calculations for high-order harmonic generation in helium.;
2024;Bulletin of the American Physical Society;BulletinoftheAmericanPhysicalSociety;Determining the feasibility of performing circularly-polarized RABBITT calculations using the R-Matrix with Time-dependence method;
2024;Bulletin of the American Physical Society;BulletinoftheAmericanPhysicalSociety;Electron-impact excitation of Si using the Dirac B-Spline atomic R-Matrix code;
2024;Bulletin of the American Physical Society;BulletinoftheAmericanPhysicalSociety;Exploring High-Order Harmonic Generation in Neon using the R-Matrix with Time-Dependence Method;
2024;Bulletin of the American Physical Society;BulletinoftheAmericanPhysicalSociety;Electron-impact excitation and ionization of Rb and Rb+ using the Dirac B-Spline R-Matrix method;
2024;Plasma Sources Science and Technology;PlasmaSourcesScienceandTechnology;A novel state-resolved actinometry method to determine the nitrogen atom number density in the ground state and intra-shell excited states in low-pressure electron cyclotron …;
2023;Computing in Science & Engineering 25 (3);68-72;Simulation for All: The Atomic_ Molecular_ and Optical Science Gateway;
2023;Plasma Sources Science and Technology 32 (9);095019;A xenon collisional-radiative model applicable to electric propulsion devices: III. Determination of the ionization fraction in low-temperature xenon plasma by using ionic and …;
2023;Frontiers in Ultrafast Optics: Biomedical;andIndustrial…;Sub-femtosecond dynamics in photoionization and photodissociation processes;
2023;APS Annual Gaseous Electronics Meeting Abstracts;GM1.010;Electron Collisions with Atoms and Ions-A Solved Problem?;
2023;APS Division of Atomic;MolecularandOpticalPhysicsMeetingAbstracts2023…;The Science Gateway for Atomic_ Molecular_ and Optical Science (AMOS);
2023;APS Division of Atomic;MolecularandOpticalPhysicsMeetingAbstracts2023…;The legacy of Don Madison-electron-atom collisions.;
2023;Springer Handbook of Atomic;725-750;Electron–Atom_ Electron–Ion_ and Electron–Molecule Collisions;
2022;arXiv e-prints;arXiv:2209.14807;Analysis of the photoelectron momentum distribution in the strong-field ionization of atomic hydrogen by 800-nm few-cycle elliptically polarized pulses;
2022;The European Physical Journal D 76 (5);TheEuropeanPhysicalJournalD76(5);Electron-impact excitation of the 5$$\varvec {^ 2\textbf {S} _ {1/2}\rightarrow 5^ 2\textbf {P} _ {1/2}} $$ and 5$$\varvec {^ 2\textbf {P} _ {3/2}} $$ transitions in rubidium …;
2022;APS Division of Atomic;MolecularandOpticalPhysicsMeetingAbstracts2022…;Analysis of strong-field ionization via a Bohmian Mechanics approach;
2022;APS Division of Atomic;MolecularandOpticalPhysicsMeetingAbstracts2022…;Angle-Dependent Continuum Transitions in Multi-Sideband RABBITT on Argon: Experiment and Theory;
2022;APS Division of Atomic;MolecularandOpticalPhysicsMeetingAbstracts2022…;Coherent control of nonradiative electron capture in electron-ion collisions: Exploiting Heisenberg's Uncertainty Principle and the projectile beam coherence.;
2022;APS Division of Atomic;MolecularandOpticalPhysicsMeetingAbstracts2022…;Two-path interference in the resonance-enhanced few-photon ionization of lithium atoms;
2022;APS Division of Atomic;MolecularandOpticalPhysicsMeetingAbstracts2022…;A Science Gateway for Atomic_ Molecular and Optical Science (AMOS): Democratizing AMOS Research and Education;
2022;;;Acknowledgment to Reviewers of Atoms in 2021;
2021;Plasma Sources Science and Technology 30 (11);115019;Transport of electrons and propagation of the negative ionisation fronts in indium vapour;
2021;Abhijit Dasgupta;CharlotteF.Fischer;Improved Transition Oscillator Probabilities for Laser Transitions in Xe I;
2021;Bulletin of the American Physical Society 66;BulletinoftheAmericanPhysicalSociety66;Multi-Sideband RABBITT in Ar: Experiment and Theory;
2021;Bulletin of the American Physical Society 66;BulletinoftheAmericanPhysicalSociety66;Study of attoclock experiments using Bohmian mechanics;
2021;Bulletin of the American Physical Society 66;BulletinoftheAmericanPhysicalSociety66;Attosecond time delays near the photoionisation threshold of neon;
2021;Bulletin of the American Physical Society 66;BulletinoftheAmericanPhysicalSociety66;Magnetic Dichroism in the Two-and Three-Photon Ionization of Polarized Lithium;
2021;Bulletin of the American Physical Society 66;BulletinoftheAmericanPhysicalSociety66;Circular Dichroism in Atomic Resonance-Enhanced Few-Photon Ionization;
2021;Bulletin of the American Physical Society 66;BulletinoftheAmericanPhysicalSociety66;Quantum control of entangled photon-pair generation in electron-ion collisions driven by laser-synthesized photoelectron wave packets;
2021;Bulletin of the American Physical Society 66;BulletinoftheAmericanPhysicalSociety66;Emergence of light-induced states in the few-photon ionization of atomic helium;
